Title,Release Date,Anime Type,Episode Count,Genres,Summary
Aa! Megami-sama! (2011),"23.02.2011 - 23.08.2013
				","('OVA',)",3 eps,"['contemporary fantasy', 'deity', 'fantasy', 'manga', 'seinen']","Keiichi finds out that the amusement park he once went to with Belldandy is about to close down. He then asks Belldandy to go there with him, to the place significant within their memories. It is a rare chance for the two to be alone together, and Belldandy is extremely pleased. However, Belldandy's expanding powers are causing the Goddess' existence to disappear from Earth.While the unsuspecting Belldandy and nervous Keiichi are enjoying themselves, Urd and Skuld are developing a counter-plan.~ translated and adapted from official site by CranstonNote: Bundled with 42nd, 43rd and 46th volumes of Aa! Megami-sama manga.
"
Aa! Megami-sama! Chicchaitte Koto wa Benri Da ne!,"06.04.1998 - 29.03.1999
				","('TV Series',)",48 eps,"['action', 'anthropomorphism', 'comedy', 'contemporary fantasy', 'deity', 'fantasy', 'magic', 'manga', 'parody', 'short episodes', 'super deformed']","""One ordinary day in may. Three goddesses from heaven appeared at the door of a likable young college student. The goddesses used their many powers to help people find happiness. And sometimes for a lark they would make themselves small."" — from introSpring, love is in the air and Gan the rat gets a lot more than he bargains for with the help of Urd's fortune telling.Urd, Skuld and Gan are sunbathing when another rat falls through the ceiling mumbling about ""arms and arms of gold"" somewhere in the attic. Skuld assembles three treasure-hunting thingamajiggies and the adventure is on.Gan, sitting on the temple roof enjoying the sun, wishes he could fly like a bird... Urd is only too happy to grant that wish, or something along those lines. When Skuld offers her assistance via another set of her gadgets only deep space seems to be the limit.Having gained too much weight, Urd and Skuld are only too happy to help Gan slim down to normal using Skuld's brand new gadgets and Urd's latest concoction.Eating a not so fresh piece of cake, Gan ends up with a stomach ache. The cures that Urd and Skuld think up are worse than the ailment though, turning the poor Gan into Gabira, the Giant Monster.Thankfully, Belldandy usually stays out of ""helping"" even more...— written by foo2
"
Aa! Megami-sama! Sorezore no Tsubasa,"07.04.2006 - 15.09.2006
				","('TV Series',)",22 eps,"['angel', 'comedy', 'deity', 'fantasy', 'harem', 'magic', 'manga', 'motorsport', 'romance', 'seinen']","* Based on Fujishima Kousuke long-running manga of the same name, serialised in the Afternoon magazine. Set one year after Aa! Megami-sama!.The song may say thank heaven for little girls, but whom is college student Morisato Keiichi supposed to thank when three honest to goodness Goddesses move in and take over his life? And should he really be all that grateful?After all, according to most mythologies, relationships between mortals and immortals usually leads to mortifying complications, so we're already talking about an extremely mixed blessing! And when a fourth Goddess suddenly appears, that blessing quickly becomes a curse. Keiichi's new friends may be trying to help, but sometimes Belldandy, Skuld, Urd, and Peorth seem less concerned with Keiichi's safety than they are with establishing a pecking order and ownership rights!The delicate celestial balance that exists between human and goddess is thrown into complete and utter chaos.
				"
Aa! Megami-sama! Tatakau Tsubasa,"09.12.2007
				","('TV Special',)",2 eps,"['angel', 'deity', 'demon', 'fantasy', 'harem', 'magic', 'manga', 'seinen']","* Based on Fujishima Kousuke's long-running Aa! Megami-sama! manga, serialised in the Afternoon magazine.Morisato Keiichi has a happy daily life, albeit unusual, which is rather unsurprising when you consider his household is home for four goddesses — the sisters Belldandy, Urd and Skuld, and their friendly rival Peorth. Belldandy, Urd and Peorth are having tea together so that their angels can have fun, while Skuld is sulking about her angel not coming out and Keiichi is trying to cheer her up. When Urd teases Skuld about her angel, the latter throws a fit, calming down when they share some of their wisdom with her. So far, a day perfectly like every other.However, while they were having fun, an emergency occurred in Heaven, and a Valkyrie, a goddess belonging to the powerful fighting squad, interrupted their party by descending to their home. That goddess is Lind, known as the Fighting Wing or as the One-Winged Angel, said to be the most elite fighter even among the Valkyries. Lind's descent is a sign that the goddesses are in grave peril, and that Keiichi's daily life is about to be turned upside down yet again.— written by HinoeNote: Created to commemorate the 20th anniversary of the manga by the same animation team that had previously been in charge of the two TV seasons.
"
AAA de Ikou!!: Yuuna & Akiko,"24.08.2007
				","('OVA',)",1 ep,[],No summary available.
Aachi wa Ssipak,"28.06.2006
				","('Movie',)",1 ep,"['action', 'comedy', 'gunfights', 'horror', 'new', 'nudity', 'parody', 'post-apocalyptic', 'violence']","In the future, all energy sources are depleted, except human excrements. To reward production, people receive addictive, Popsicle-like Juicybars. Aachi and Ssipak are street hoodlums who struggle to survive by trading black market Juicybars. Through a chain of events involving their porn-director acquaintance Jimmy the Freak, they meet wannabe-actress Beautiful, whose defecations are rewarded by exceptional quantities of Juicybars. For that reason, Beautiful is also wanted by the violent blue mutants known as the Diaper Gang (led by the Diaper King), the police (most notably the cyborg police officer Geko), and others.Source: Wikipedia
"
Abarenbou Rikishi!! Matsutarou,"06.04.2014 - 28.09.2014
				","('TV Series',)",23 eps,"['comedy', 'historical', 'manga', 'seinen', 'sports']","* Based on the sports manga written and illustrated by Chiba Tetsuya.Sakaguchi Matsutarou is a giant roughneck man with strength far beyond that of ordinary people. He never utters words like work hard, strive, and dream though. However, he is peerless in sumo wrestling. His greatest weakness is his own carefree personality, but he grows into a full-fledged sumo wrestler.Source: ANN
"
Abashiri Ikka,"21.05.1991 - 21.11.1991
				","('OVA',)",4 eps,"['action', 'comedy', 'ecchi', 'large breasts', 'mafia', 'manga', 'shounen', 'super deformed', 'violence']","The Abashiri family is deranged, dysfunctional and extremely dangerous, and they happen to be kingpins of disorganized crime. The most shocking thing, however, is neither the Abashiris' nearly superhuman abilities nor their reputation for wanton, senseless violence, but the fact that they have built such international notoriety with a gang of only five members! Of course, as Papa Abashiri would say: ""Five may not be many, but it takes only five fingers to form a fist, a powerful force that can crush all opposition!"" But Papa also admits: ""Some fingers are more important than others, especially if you are pulling a trigger or flipping someone the bird.""One such finger, the clan's sole daughter and aspiring thug, Kikunosuke, has the tough job of being a mob princess, so Papa has decided to send the apple of his eyes to a very special finishing school, one secretly run by a ruthless gang of arch-criminals. What he does not know is that the proprietors of this school for crime have no interest in graduating any of their students, most of whom seem to mysteriously succumb to fatal ""accidents""! Can the young Kikunosuke fight her way out of this Finishing School of the Damned before she is finished off, or will the Abashiri family be looking for a new little finger?Note: Originally released as a feature part of Studio Pierrot's video magazine show Anime V Comic Rentaman (アニメ・V・コミック レンタマン) along with Yumemakura Baku Twilight Gekijou, Eguchi Hisashi no Kotobuki Gorou Show and Akai Hayate.
"
Abciee Shuugyou Nikki,"07.01.2021 - 25.03.2021
				","('TV Series',)",12 eps,"['anthropomorphism', 'short episodes']","ABCiee is a bit klutzy and ditsy, but he's full of spunk and he starts his dream job at a TV station! This is a work comedy filled with all kinds of hijinks! ""I never knew it was so hard working at a TV station, ciee!"" Despite having to face the unknown rules of the TV business, unique coworkers, and guest stars who have very particular quirks, ABCiee takes them head on with his positivity. Work, love, family, whatever goes!! Please watch over ABCiee as he takes on the TV business.Source: crunchyroll
"
Abe George Kattobi Seishun Ki: Shibuya Honky Tonk,"25.05.1988 - 25.11.1988
				","('OVA',)",4 eps,['mafia'],"This story is based on one of the famous Japanese writers ""George Abe""'s troubled boyhood. Although he was born in wealthy family, he starts keeping company with yakuza...
				"
Abenobashi Mahou Shoutengai,"04.04.2002 - 27.06.2002
				","('TV Series',)",13 eps,"['adventure', 'angst', 'comedy', 'coming of age', 'contemporary fantasy', 'fantasy', 'magic', 'new', 'parallel world', 'parody', 'shounen', 'super deformed']","Imamiya Satoshi and Asahina Arumi live in the Abenobashi shopping district in Osaka. One summer day the youths are transported to the parallel universe, Maho Shotengai (Magical Shopping District), where common sense is far from common. Satoshi and Arumi are a comical pair lost in a bizarre and wacky alternate world.Will the two ever make it home?
				"
Absolute Duo,"04.01.2015 - 22.03.2015
				","('TV Series',)",12 eps,"['action', 'ecchi', 'fantasy', 'harem', 'magic', 'novel', 'romance', 'school life', 'tragedy', 'violence']","* Based on a series of light novels written by Hiiragi Boshi Takumi and illustrated by Asaba Yuu.Blaze is a weapon that is the manifestation of a human's soul. Kokonoe Tooru happens to be qualified for this, but for some reason his Blaze is not a weapon, but a shield. Moreover, he enrolled in a school that teaches combat skills, and thanks to the school's Duo partner system, he ends up living with a beautiful silver-haired girl.Source: ANNNote: The first episode received an early screening at a special event on December 28, 2014, at Kadokawa Cinema Shinjuku in Tokyo. The regular TV broadcast started on January 4, 2015.
"
Abunai Sisters: Koko & Mika,"11.01.2009 - 05.03.2009
				","('OVA',)",10 eps,"['action', 'comedy', 'ecchi', 'new', 'short episodes']","Koko & Mika are actresses by profession: popular and setting out to charm men with their dynamic and sexy bodies. But wait! What are they really? They are, in fact, secret agents on a mission to discipline the wicked men of the world.(http://kanosisters.net/contents01.html)The OVA anime featuring fictional characters based on the Japanese celebrities the Kano Sisters. The anime character designs are created by Susumu Matsushita, best known for creating the mascot character of the Orix Buffalos baseball team.Note: The first 2 episodes were shown on TV channel AT-X randomly every day from 15.01.2009 to 14.02.2009. The first episode was also streamed on NicoNico, ANN and Crunchyroll. The series was dubbed in english only.
"
ACCA 13-ku Kansatsu-ka,"10.01.2017 - 28.03.2017
				","('TV Series',)",12 eps,"['manga', 'seinen']","The kingdom of Dowa, which is subdivided into 13 states, is celebrating its monarch's 99th birthday. These 13 states have many agencies that are controlled by the giant organization known as ACCA. Within ACCA, Jean Otus is the second-in-command of the inspection agency. His agency has ten people placed in each of the 13 states, with a central office in the capital city. They keep track of all the activities of ACCA across the kingdom, and keep data on each state's ACCA office flowing toward the central office. Jean also often has business trips from the capital to the other districts to check on the situation and personnel there.Source: MAL
"
ACCA 13-ku Kansatsu-ka: Regards,"14.02.2020
				","('Movie',)",1 ep,[],"""ACCA"" is a giant unified syndicate residing in a kingdom split into 13 autonomous regions. ACCA was formed back when there was threat of a coup d'etat, and it has continued to protect the peace of civilians for almost one hundred years.Jean Otus, the vice-chairman of the inspections department at ACCA headquarters, is one of the most cunning men in the syndicate's history with the nickname ""Jean the Cigarette Peddler.""Whimsically puffing his cigarettes, he wanders through the 13 districts, checking to see if there is any foul play afoot.Source: crunchyrollNote: The OVA received a one-week screening at 13 theaters nationwide. The disc was released on 27.03.2020.
"
Accel World,"23.03.2012 - 22.09.2012
				","('TV Series',)",24 eps,"['action', 'middle school', 'novel', 'school life', 'science fiction', 'seinen', 'virtual world']","* Based on a light novel series by Kawahara Reki, with illustrations by Hima.One autumn day in 2046, Haruyuki has an encounter with Kuroyuki-hime, the prettiest girl in his school. For the middle school boy who is often bullied, the meeting changes his life. Through a mysterious piece of software she gave him, Haruyuki learns about the existence of the virtual Accel World. It was after that fateful encounter that Haruyuki of the lowest school caste becomes Burst Linker, a courageous knight defending a princess.Source: ANNNote: The first two episodes received a pre-airing held in collaboration with various stores and webstreaming services. The first one took place at Gamers's Akihabara head office in Tokyo on Friday, March 23, 2012. Others took place at Softmap Akihabara also on March 23, 2012, Animate Nipponbashi in Osaka on March 24, 2012 and Comic Toranoana in Nagoya on March 25, 2012. Attendance was limited to 400 people, 100 for each location, and participants were chosen through a post-card lottery held until Wednesday, March 7, 2012. Additional webcasts were streamed at Bandai Channel on March 26, 2012, at PlayStation Store between Wednesday, March 28 and Tuesday, April 3, 2012, at Warner on Demand between April 1 and April 2, 2012 and at Nico Nico Douga on April 2, 2012. Viewership was limited to 1000 accounts for all services except Nico Nico Douga, which was limited to 2000. The regular TV broadcast started on April 7, 2012.
"
Accel World OVA,"13.09.2012 - 31.01.2013
				","('OVA',)",2 eps,"['ecchi', 'high school', 'novel', 'romance', 'science fiction', 'seinen', 'virtual world']","* Based on a light novel series by Kawahara Reki, with illustrations by Hima.Reverberation — At Umesato Junior High Kuroyuki calls for a student council meeting, due to certain incidents happening on the school network: Students are being trapped in the network after school and their avatar's clothes and items are stripped. Apparently these are the acts of a skilled hacker. Now it is up to Kuroyuki, Chiyuri, Haruyuki and Takumu to set a trap and catch the culprit.Vacation — Haruyuki's eating habits are getting the better of him. He desperately needs to shape up in two weeks, to avoid the school's mandatory health-improvement program. Failing to do so would mean he could no longer participate in the territory battles. Thus Chiyuri decides to enforce Haruyuki's brutal fitness regime... since that fails, a visit to a hot springs to improve physical constitution with mixed-gender bath is Haruyuki's last hope.— written by foo2Note: The first and second episodes were bundled with the limited editions of the Accel World: Ginyoku no Kakusei and Accel World: Kasoku no Chouten games, respectively. The OVAs came with a Blu-ray Disc for the PS3 versions of the games, and with a DVD for the PSP versions.
"
Accel World: Infinite Burst,"23.07.2016
				","('Movie',)",1 ep,[],"* Based on a light novel series by Kawahara Reki, with illustrations by Hima.In 2046, many aspects of life are carried out on a virtual network. No matter how advanced the time becomes, however, bullying never disappears. Haruyuki is one of the bullied students. However, one day he is contacted by Kuroyukihime, the most famous person in the school. ""Wouldn't you like to 'accelerate' and go further ahead, boy?"" Haruyuki is introduced to the ""Accel World"" and decides to fight as Kuroyukihime's knight.
				"
Acchi Kocchi,"06.04.2012 - 29.06.2012
				","('TV Series',)",12 eps,"['4-koma manga', 'comedy', 'daily life', 'manga', 'romance', 'school life', 'seinen', 'super deformed']","* Based on the 4-koma manga by Ishiki.A very subtle distance in the relationship between the two high school students Tsumiki and Io leads to much confusion and misunderstandings: the very shy Tsumiki just cannot be honest about her feelings for Io, and he simply has no clue that she likes him. Unfortunately for Io all their friends — Hime, Mayoi, and Sakaki — understand the situation perfectly and simply cannot resist teasing Io at every opportunity.— written by foo2
"
Ace o Nerae!,"05.10.1973 - 29.03.1974
				","('TV Series',)",26 eps,"['high school', 'shoujo', 'sports', 'tennis']","High school freshman Hiromi joins the tennis club because she admires the elegant Ryuzaki but the new coach, Jin Munakata, names inexperienced Hiromi to play in a coming tournament. Hiromi considers to quitting tennis but finds, deep down in her soul, she loves tennis after all. She comes back to the club and her talent starts to bloom under Munakata's coaching.Source: AnimeNfo
"
Ace o Nerae! (1979),"08.09.1979
				","('Movie',)",1 ep,"['manga', 'shoujo', 'sports', 'tennis']","High school freshman Hiromi joins the tennis club because of her admiration for Ryuzaki. Ryuzaki is a senior, who's the best tennis player on the team and also nicknamed Ochoufujin (Madame Butterfly) because of her elegance on the tennis court. However, the new coach, Jin Munakata, wants the inexperienced Hiromi to play in a forthcoming tournament.Due to this, Hiromi considers quitting tennis for good but, in the depth of her soul, she soon realizes that she loves tennis after all. She returns to the club and, under Munakata's coaching, her talent starts to bloom.In the end, Hiromi develops a strong emotional bond with her coach, not knowing that Munakata is risking his life because of a chronic illness.Source: AnimeNfo
"
Ace o Nerae! 2,"25.07.1988 - 25.10.1988
				","('OVA',)",13 eps,"['shoujo', 'sports', 'tennis', 'tragedy']","Three years has passed since the events of the first series. Hiromi continued training with her coach and became Japan's junior champion. Their common profits have also contributed to the coach being chosen as the first trainer of the Japanese Selection of Tennis and is arranged to head a trip with the youngest members of the team to USA. The relation between Hiromi and its trainer is narrower at personal level but it exceeds the teacher-student bond with great difficulty.
				"
Ace o Nerae! Final Stage,"25.10.1989 - 25.04.1990
				","('OVA',)",12 eps,"['action', 'shoujo', 'sports', 'tennis']","Ace o Nerae! Final Stage takes up directly after the Ace o Nerae! 2 series.Hiromi continues developing her tennis and shows the results while undergoing an emotional change into an adult.
				"
Acro Trip,"02.10.2024 - 11.12.2024
				","('TV Series',)",12 eps,['shoujo'],"* Based on a shoujo comedy manga by Sawata Yone.Date Chizuko is an otaku girl who lives in a city in Niigata Prefecture. Chizuko is obsessed with Berry Blossom, the magical girl who protects the city. However, Chroma — the leader of the local evil organization Fossa Magna — is inept and weak, so hardly anyone else cares about Berry Blossom and Chroma's frequent battles anymore. Chizuko vows to shine a light on the magical girl's exploits — and this fervent desire takes this seemingly shy middle school girl down a dark path filled with strange folks...Source: ANN
"
Action Heroine Cheer Fruits,"07.07.2017 - 29.09.2017
				","('TV Series',)",12 eps,['new'],"The local heroine fighter of a certain city became popular and a national star. Because of this, local heroines debuted in various other places, and their action live events became a hit trend nationally.The Hinano City is a tranquil area that cultivates fruits, but has lost its vitality. For the town she loves, high school girl Shirogane Misaki and other girls become local heroines (at the urging of Misaki's aunt, the prefectural governor) and vow to produce action live events. The teen story depicts their strenuous efforts to revitalize their town.Source: ANNNote: The first episode received an early screening at a special event held at Shirogane Takanawa Selene b2 in Tokyo on 02.07.2017.
"
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,"07.01.2016 - 24.03.2016
				","('TV Series',)",12 eps,"['cyberpunk', 'law and order', 'mecha', 'new', 'power suit', 'science fiction']","Set in a part of Tokyo that has descended into a quagmire, the story follows Unit 8 of the 5th Special Public Security Section's 3rd Mobile Assault Division — popularly called ""The Eighth"" — who don powered armor ""Willware"" exoskeletons to counter the rise in crime.Source: ANN
"
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari - 2nd,"11.07.2016 - 26.09.2016
				","('TV Series',)",12 eps,"['action', 'cyberpunk', 'law and order', 'mecha', 'new', 'power suit', 'science fiction']","The nation's capital, Tokyo, where the Space Elevator Project is proceeding at full tilt, in preparation for the summit.Established to fight crime based around Willwear, enhanced armor, is the Special Public Security Fifth Division Third Mobile Assault Eighth Unit - Unit 8 in short.Having saved Japan from Logos' terrorism, Unit 8 was now become really popular around the country. However, crimes misusing Willwear showed no signs of slowing down. In fact, they kept escalating.Kuroki and the rest of Unit 8 now have new members on their side, and continue to fight evil crimes with their brains, bravery, and the gift of gab - now with the help of civilian police.Source: Crunchyroll
"
Actors: Songs Connection,"06.10.2019 - 22.12.2019
				","('TV Series',)",12 eps,[],"* Based on a CD series launched in 2014 in which famous male voice actors sing popular Vocaloid songs. The series includes many CDs and DVDs, a light novel, stage events, and original merchandise.Within a sprawling academic metropolis lies an exclusive academy where students are encouraged to join clubs such as singing and archaeology to earn points for recognition. The most important of these is the big singing contest where all contestants have to sing in front of the entire school!Source: Funimation
"
Adachi to Shimamura,"09.10.2020 - 25.12.2020
				","('TV Series',)",12 eps,"['novel', 'romance', 'shoujo ai']","* Based on a yuri light novel series written by Iruma Hitoma and illustrated by Non.Adachi and Shimamura, two young women who attend the same high school, are inseparable friends. Whether playing table tennis, chatting about favorite TV shows, or just relaxing together, they're happy to share their days. When Adachi's friendship turns into romantic attraction, the relationship begins to change, one day at a time.Source: Seven Seas Entertainment
"
Adachigahara,"16.11.1991
				","('Movie',)",1 ep,"['science fiction', 'space travel', 'tragedy']","This is a story of an astronaut who is sent to a penal colony planet, and there meets an old woman who shows him the truth of life and love. Originally a short Manga in ""The Lion Books,"" it was made into an animated series. The chief character, Jess, fights to bring down the dictator of the federation of the Earth and other planets, but is arrested by the federal authorities and sent to a penal colony planet. The story focuses on him, using Japanese Noh drama ""Kurozuka"" as a motif.
				"
Adauchi Karasu,"20.03.1934
				","('Movie',)",1 ep,[],No summary available.
Adesugata Mahou no Sannin Musume,"28.03.1986
				","('OVA',)",1 ep,"['comedy', 'fantasy', 'magical girl']","A recap-heavy crossover special in which Mami, Persia, and Emi go to a hot spring together.
				"
Adventures in Beauty Wonderland,"??.??.2013
				","('Movie',)",1 ep,['short movie'],"One of Keiichi Tanaami's most recent short movies.
				"
Aesop Douwa,"21.11.1993
				","('OVA',)",3 eps,[],No summary available.
Aesop World,"05.04.1999 - 31.12.1999
				","('TV Series',)",26 eps,"['adventure', 'new']","This is the country called Aesop World. Pikko, Toccho and Fuufuu are very good friends and live in the Water Wheel Village. One day the three of them play in the mountains and fall by accident down into a secret lake. What they find there is the giant fish Aesop. Long ago he could fly freely through the vast sky, but during all the years he lost his ""scales"" and is now no longer able to. The three kids want to help Aesop and go on a great adventure to find the mysterious scales that scattered all around the world.Source: Translated from http://www.amuse-s-e.co.jp/kids/isop/story.html.
"
Affordance,"??.04.2002
				","('Other',)",1 ep,[],No summary available.
Africa no Salaryman,"05.06.2017 - 30.06.2017
				","('Web',)",10 eps,"['anthropomorphism', 'comedy', 'daily life', 'short episodes']","* Based on Gamu's comedy web manga series.A lion, toucan and lizard live the lives of office workers in a capitalist society in Japan, while also dealing with their unique situations as animals living beyond the savanna and the food chain.Source: ANNNote: The first episode received an early distribution on June 5, 2017. The regular broadcast started on June 19, 2017.
"
Africa no Salaryman (2019),"07.10.2019 - 23.12.2019
				","('TV Series',)",12 eps,"['anthropomorphism', 'comedy', 'daily life', 'manga']","* Based on Gamu's comedy web manga series.Lion, Lizard, and Toucan live the lives of office workers in a capitalist society in Japan, while also dealing with their unique situations as animals living beyond the savanna and the food chain.Source: ANN
"
Afro Samurai,"04.01.2007 - 01.02.2007
				","('TV Series',)",5 eps,"['action', 'gunfights', 'manga', 'mecha', 'samurai', 'swordplay', 'violence']","* Project by Spike TV / FUNimation of US, and Gonzo's Samurai Project team.The tale of Afro Samurai is one of bloody hardship and pain. Along his solitary path of revenge for his murdered father, he sheds no tears and knows no love. Forever chased by powerful enemies in a lawless technology-speckled dystopia, he evades bullets and blade to reach his final prey: a man who will not die. But Afro will reach his quarry - even if it means painting a road of blood and brains from here to the bitter inevitable end.
				"
Afro Samurai Gekijouban,"27.10.2007
				","('Movie',)",1 ep,"['action', 'gunfights', 'manga', 'mecha', 'samurai', 'swordplay', 'violence']","* A movie adaptation of the TV series Afro Samurai. Project by Spike TV / FUNimation of US, and Gonzo's Samurai Project team.The tale of Afro Samurai is one of bloody hardship and pain. Along his solitary path of revenge for his murdered father, he sheds no tears and knows no love. Forever chased by powerful enemies in a lawless technology-speckled dystopia, he evades bullets and blade to reach his final prey: a man who will not die. But Afro will reach his quarry - even if it means painting a road of blood and brains from here to the bitter inevitable end.
				"
Afro Samurai Resurrection,"25.01.2009
				","('TV Special',)",1 ep,"['action', 'cyborg', 'manga', 'martial arts', 'mecha', 'samurai', 'swordplay', 'tragedy', 'violence']","Afro Samurai (Academy Award ® nominee Samuel L. Jackson) avenged his father and found a life of peace. But the legendary master is forced back into the game by a beautiful and deadly woman from his past. The sparks of violence dropped along Afro's bloody path now burn out of control - and nowhere are the flames of hatred more intense than in the eyes of Sio (Lucy Liu: Kill Bill). She won't quit until Afro is schooled in the brutal lessons he dealt those who stood in his way. There's no such thing as final vengeance. The cycle of bloodshed spinning around the Number One Headband must roll on.
				"
Afro-Ken,"25.06.2001
				","('OVA',)",1 ep,['kodomo'],"Afro-Ken (アフロ犬) is a Japanese character created by the San-X company, which creates other anime-style characters such as Kogepan. He is a dog with a rainbow-coloured afro. He is innocent and blameless and always in a good mood. Afro-Ken is always willing to try new things. Afro-Ken is attracted to objects that look like he does. His hair changes to look like these things as he gets close to them.There is an Afro-Ken Family Tree with other dog characters who have outrageous names, such as Techno-Ken, Funky-Ken, Lord-Ken, Super Afro-Ken, and Normal-Ken. Unlike the others, Normal-Ken does not have wild hair.In 2001, Bandai Visual and Sunrise produced a 3DCG OVA adaptation based on the character. The OVA was also broadcast worldwide by the anime satellite television network Animax.Source: Wikipedia
"
Agatha Christie no Meitantei Poirot to Marple,"04.07.2004 - 15.05.2005
				","('TV Series',)",39 eps,"['detective', 'novel']","This anime is based on the novels of Agatha Christie. The anime is a collection of 39 mysteries chosen from Hercule Poirot and Marple series. To connect these two detectives, there appeared the original character, Mable West.Young Mabel West is the daughter of mystery writer Raymond West, who wants her to lead a normal life. Rebelling against this, Mabel wants to be a great detective, and sets out for London to become assistant to none other than Hercule Poirot, the great Belgian detective who resides there. She finally wins the reluctant approval of her father, and embarks on an exciting life of mystery and suspense - his only demand being that she occasionally spend some time with her great-aunt, Jane Marple, in the small village of St. Mary Mead.Source: ANN and AnimeNfo
"
Age of Obscure,"??.??.2016
				","('Movie',)",1 ep,[],No summary available.
Aggressive Retsuko,"02.04.2016 - 31.03.2018
				","('TV Series',)",100 eps,"['daily life', 'new', 'short episodes']","The show centers on Retsuko, a 25-year old red panda who works in her dream company's accounting department. But it turns out that she is forced to keep doing more and more impossible tasks by her superiors and co-workers. She doesn't talk back to them, but she still has to let off steam, so she ends up going to karaoke by herself and singing death metal.Source: ANN
"
Aggressive Retsuko (2018),"20.04.2018
				","('Web',)",10 eps,"['anthropomorphism', 'comedy', 'daily life', 'half-length episodes']","* Based on Sanrio's character.Retsuko is a 25-year old red panda who works in her dream company's accounting department. But it turns out that she is forced to keep doing more and more impossible tasks by her superiors and co-workers. She doesn't talk back to them, but she still has to let off steam, so she ends up going to karaoke by herself and singing death metal.Source: ANN
"
Aggressive Retsuko (2019),"14.06.2019
				","('Web',)",10 eps,"['anthropomorphism', 'comedy', 'daily life', 'half-length episodes']",No summary available.
Aggressive Retsuko (2020),"27.08.2020
				","('Web',)",10 eps,"['anthropomorphism', 'daily life', 'half-length episodes']",No summary available.
Aggressive Retsuko (2021),"16.12.2021
				","('Web',)",10 eps,[],"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work. After becoming an underground idol to pay off her debts, Retsuko decides to quit OTMGirls and enjoy living a happy, normal life... but just as the company she works for is facing big changes, her relationship with Haida finally begins to move.Source: netflix
"
Aggressive Retsuko (2023),"16.02.2023
				","('Web',)",10 eps,['daily life'],No summary available.
Aggressive Retsuko: We Wish You a Metal Christmas,"20.12.2018
				","('Web',)",1 ep,"['anthropomorphism', 'comedy', 'daily life']","While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control.Source: Netflix
"
Agigongryong Dooly,"07.10.1987
				","('TV Special',)",6 eps,"['comedy', 'science fiction', 'super power']","Dooly is a baby dinosaur that was kidnapped by aliens, who experimented with him in order to learn more about Earth at the time, and they left him with superpowers. When he was returned to Earth, it entered the Ice Age. Separated from his family, he got trapped in ice, which caused him to spend the entire Ice Age frozen, but alive. About 10 million years later, the glacier that was keeping him sealed up broke off, and he drifted until ending up in Seoul.While in Seoul, he was found by a girl called Younghee and her elder brother Chulso, who mistook him for a dog and took him home, making him live with them as a pet. Their father Gildong, however, hates Dooly, and beats him up whenever he gets annoyed at him.— written by Cake-kun and Hinoe
"
Agigongryong Dooly (1988),"05.05.1988
				","('TV Special',)",7 eps,[],"After much hard work during the previous episodes, assuming you can even call it that, Dooly managed to stay in Gildong's house, along with Dou'nah.Will he be able to triumph in the current human civilization, even while more troublemakers show up and essentially take Gildong's house over? What will happen to the house? What about Gildong's sanity?— written by Cake-kun
"
Agigongryong Dooly: Aeouleumbyul`daemohum,"24.07.1996
				","('Movie',)",1 ep,[],"Dooly is a baby dinosaur that was kidnapped by aliens, who experimented with him in order to learn more about Earth at the time, and they left him with superpowers. When he was returned to Earth, it entered the Ice Age. Separated from his family, he got trapped in ice, which caused him to spend the entire Ice Age frozen, but alive. About 10 million years later, the glacier that was keeping him sealed up broke off, and he drifted until ending up in Seoul.While in Seoul, he was found by a girl called Younghee, who mistook him for a plush doll and took him home. She tried to show Dooly to her brother, Chulsoo, and her father, Gildong; however, surprise awaits the family, as Dooly, who has now finished defrosting and is awake, greets them...— written by Cake-kun and Hinoe
"
Agitated Screams of Maggots,"15.11.2006
				","('Music Video',)",1 ep,[],"The music video for the song Agitated Screams of Maggots by Dir En Grey is entirely animated, with only a short animated portrayal of the band members. It is done in an obviously Ero Guro inspired style. The film, created by Kurosaka Keita, was shown at the 2007 International Film Festival Rotterdam for its animation based on their music exemplifying his fascination for violence and relationships.
				"
Agukaru: Agriculture Angel Baraki,"17.09.2010 - 01.04.2014
				","('Web',)",5 eps,"['half-length episodes', 'super deformed']","Sanae is a farmer girl who can see spirits. Every day she works on her field together with such spirits to produce the best agricultural goods. However, there is a group that aims for that field.With the blessing of the earth, transform, Sanae-chan!By her farmer's love and the power of the earth she transforms into Agriculture Angel Baraki.Taste the power of farmer's love!!Such is the tale of a certain Ibaraki in a certain Japan.
				"
Agukaru: Agriculture Angel Baraki - Play with Ibaraki Hen,"06.06.2014 - 21.03.2015
				","('Web',)",20 eps,[],No summary available.
