Title,Release Date,Anime Type,Episode Count,Genres,Summary
"""Oshi no Ko"" 3","?
				","('TV Series\n\t\t\t\t',)",TV Series,[],"* Based on a seinen manga written by Akasaka Aka and drawn by Yokoyari Mengo.
				"
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku","11.06.2021
				","('Movie',)",1 ep,[],"A compilation movie.
				"
#Compass 2.0: Sentou Setsuri Kaiseki System,"??.??.2025 - ?
				","('TV Series\n\t\t\t\t',)",TV Series,[],No summary available.
0-saiji Start Dash Monogatari,"07.07.2024 - 22.09.2024
				","('TV Series',)",12 eps,['short episodes'],"Lilia, the newborn daughter of a marquis, has the memories of her previous life! With cheat-like gamer knowledge she aims to become the strongest girl in this new ""other world""!
				"
00:08,"??.??.2014
				","('Movie',)",1 ep,"['new', 'short movie']","An 8-second animation that keeps looping... or does it?
				"
001,"07.02.2013
				","('Web',)",1 ep,"['new', 'short episodes']","Short animation by Masaki Okuda.
				"
009 Re:Cyborg,"27.10.2012
				","('Movie',)",1 ep,"['action', 'angel', 'cyborg', 'gunfights', 'human enhancement', 'manga', 'science fiction', 'shounen', 'super power', 'tragedy']","Nine regular humans from different parts of the world are abducted and transformed into cyborgs with astounding powers for the purpose of being used as weapons. The nine cyborgs rebel and start to fight against their creators in the name of justice and world peace. Decades later, the nine cyborgs seem to be untouched by time, but they live in a world where ""justice"" has as many nuances as the number of people living on the planet. So what is their place in the world now?Source: Production I.G Official Website
"
009-1,"06.10.2006 - 22.12.2006
				","('TV Series',)",12 eps,"['action', 'conspiracy', 'cyborg', 'manga', 'science fiction', 'tragedy']","In this alternate future, the Cold War has continued on for 140 years. The Earth is divided into two diametrically opposed factions — the Eastern Bloc and the Western Bloc. The two sides maintain a façade of peace, but continue their war with the threat of total nuclear annihilation.One of the Western Bloc's top agents, Mylene Hoffman — an enhanced female cyborg, codename 009-1 — experiences on a day-to-day basis what it means to be a pawn in this deadly game of spy vs. spy. Even though the war may be cold, it still means bloodshed. And each mission 009-1 almost miraculously pulls off makes her question the ethics of her profession more and more...
				"
009: The Reopening,"05.10.2010
				","('Other',)",1 ep,['short movie'],"The electronics maker Panasonic sponsored a stereoscopic 3D animation project of Ishinomori Shoutarou's classic science-fiction manga Cyborg 009 with director Oshii Mamoru and the studio Production I.G. The high-definition anime short, which is four minutes and 45 seconds long, was unveiled at the Panasonic booth at the CEATEC Japan 2010 trade show. The show run at the Makuhari Messe event center in Chiba, Japan from October 5 to October 8.
				"
07-Ghost,"07.04.2009 - 22.09.2009
				","('TV Series',)",25 eps,"['action', 'bishounen', 'fantasy', 'josei', 'magic', 'manga', 'military', 'super power', 'tragedy']","Set in a gothic fantasy world, this is the story of Teito Klein, an orphaned slave who became the top military academy student. However, an unexpected turn of events left him pursued by the forces of the Barsburg Empire. Now an escaping convict, Teito's sheltered by the church and its law of sanctuary. Here, he discovered many mysteries surrounding himself, the church, and the Empire itself. The fact that he might be connected to a dethroned king and the mystical stone of god, The Eye of Mikhael made him the target of the empire more than ever. Fortunately the church is under the mythical 7 Ghost protection. But who are the Ghosts really. Will Teito be free from the military's clutch, And what of his said mission to uncover the history. And who is the military's Chief-of-Staff Ayanami exactly. Teito's future seems to have spiraled into an unexpectedly perilous path.Source: ANN
"
1+2=Paradise,"23.02.1990 - 27.04.1990
				","('OVA',)",2 eps,"['comedy', 'ecchi', 'large breasts', 'love polygon', 'manga', 'nudity', 'pantsu', 'romance', 'seinen']","A strange relationship develops between college-boy Yuusuke and the beautiful twins, Yuka and Rika, he saves from a wild dog. The girls falls for their dauntless hero, but Yuusuke is pathologically scared of women.
				"
100 Banme no Saru,"25.05.1986
				","('Movie',)",1 ep,[],No summary available.
100 Byou Cinema: Robo to Shoujo (Kari),"16.06.2010 - 19.06.2011
				","('Web',)",9 eps,"['android', 'comedy', 'mecha', 'new', 'robot helper', 'science fiction', 'short episodes']","A girl and a robot live together in a scrapyard. The robot claims he wants to fight for justice with hero-like abilities, but everything always turns out wrong. The mystery behind the girl and the robot is unravelled through a rapid succession of unexpected turns of events.
				"
100 Nichikan Ikita Wani,"09.07.2021
				","('Movie',)",1 ep,['manga'],"The story centers on a crocodile living a normal life, unaware that he is due to die in 100 days. The crocodile spends ordinary days with his animal companions.Source: ANN
"
100-man no Inochi no Ue ni Ore wa Tatte Iru,"02.10.2020 - 18.12.2020
				","('TV Series',)",12 eps,"['action', 'adventure', 'coming of age', 'dark fantasy', 'isekai', 'magic', 'manga', 'parallel world', 'shounen']","* Based on a fantasy adventure manga written by Yamakawa Naoki and drawn by Nao Akinari.Ninth grader Yotsuya Yuusuke is practical, friendless, and not active in any clubs. Then one day, he and two female classmates are suddenly sent to another world where they must work together to battle for their lives. Yotsuya is a lone wolf and has always lived his life according to his wants, but how will that work out now that he's supposed to be a hero?!Source: Kodansha Comics
"
100-man no Inochi no Ue ni Ore wa Tatte Iru (2021),"10.07.2021 - 25.09.2021
				","('TV Series',)",12 eps,"['action', 'adventure', 'angst', 'coming of age', 'isekai', 'magic', 'manga', 'parallel world', 'shounen']","* Based on a fantasy adventure manga written by Yamakawa Naoki and drawn by Nao Akinari.Aloof and logical middle school third-year Yotsuya Yuusuke is transported to a game-like alternate world. He becomes a third player and takes on a dangerous quest with his classmates Shindou Iu and Hakozaki Kusue, who were transported there earlier. The cold Yuusuke eschews emotionalism and examines all elements with detachment, sometimes even toying with the lives of his companions. Can he protect his party from attacking monsters, difficult incidents, and powerful scheming enemies and win the game?Source: crunchyroll
"
100% Pascal-sensei,"15.10.2016 - 15.03.2017
				","('Web',)",6 eps,['short episodes'],No summary available.
100% Pascal-sensei (2017),"15.04.2017 - 16.12.2017
				","('TV Series',)",36 eps,"['half-length episodes', 'kodomo']","The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human.Source: ANN
"
